timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
4433253,0.99978423,-0.014878263,0.008214235,0.011946412,-0.0005884676,-0.00014047927,0.004177571,-1.39799085e-05,-2.0775897e-06,0.089694984,5.551111e-11,-1.3819121e-08,4.716392e-07,0.0,0.0,-1.3352733e-08,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.6320813e-11,9.649529e-06,0.00018234405,1.0241652e-06,0.002609184,0.002609103,0.0017093986,8.344643,8.344643,0.20446484,0.20832562,0.20832562,4.0862584,9.999992e-07,9.999924e-07,9.921596e-07,0.0,0.0,4.000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074321683,0.002409758,0.05524718,67109394,0.0,0.0,0.005081118,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4443276,0.99978423,-0.014879422,0.008218672,0.011942911,-0.00069546804,-0.00011351622,0.0043949983,-2.0402154e-05,-3.348075e-06,0.08973786,5.551111e-11,-1.3819121e-08,4.716392e-07,0.0,0.0,-1.3352733e-08,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.5765344e-11,9.615524e-06,0.00019161425,1.0283842e-06,0.0026199364,0.002619856,0.0017161744,8.34744,8.34744,0.20464887,0.22584212,0.22584212,4.086767,9.999992e-07,9.999924e-07,9.921596e-07,0.0,0.0,4.000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007320631,0.002309149,0.05293137,67109394,0.0,0.0,0.005081118,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4453259,0.9997869,-0.014881587,0.008229631,0.011706865,-0.00061987195,-9.433468e-05,0.004544166,-2.6976744e-05,-4.5814527e-06,0.08978254,1.9799735e-10,-4.4498773e-08,1.5120553e-06,0.0,0.0,-1.3352843e-08,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.5041142e-11,9.570426e-06,0.00019181041,1.015023e-06,0.0026311888,0.002631082,0.0016008618,8.350442,8.350442,0.20484088,0.24502869,0.24502869,4.087317,9.999992e-07,9.999903e-07,9.898299e-07,0.0,0.0,4.0000014e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011621559,0.0022126313,0.05069903,67109394,0.0,0.0,0.008290547,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4463262,0.999787,-0.01488149,0.008225828,0.0117066465,-0.0006222327,1.6317972e-05,0.0046421494,-3.319348e-05,-4.9719265e-06,0.08982852,1.9799735e-10,-4.4498773e-08,1.5120553e-06,0.0,0.0,-1.3352843e-08,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.4555208e-11,9.5566365e-06,0.00019141866,1.0192655e-06,0.002642941,0.0026428353,0.0016080948,8.353655,8.353655,0.20504089,0.26588622,0.26588622,4.0879083,9.999992e-07,9.999903e-07,9.898299e-07,0.0,0.0,4.0000014e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00113187,0.002119739,0.048547696,67109394,0.0,0.0,0.008290547,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4473267,0.9997891,-0.014878282,0.008235191,0.0115122385,-0.0008153808,-0.00014703062,0.0049404004,-4.0374463e-05,-5.8804903e-06,0.0898764,3.2135117e-10,-7.2877974e-08,2.4738e-06,0.0,0.0,-1.3352933e-08,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.515055e-11,9.580642e-06,0.00019009894,1.0078386e-06,0.002655194,0.0026550642,0.0015075959,8.357062,8.357062,0.2052489,0.28841564,0.28841564,4.088541,9.999992e-07,9.999881e-07,9.871977e-07,0.0,0.0,4.0000014e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014692192,0.0020308245,0.04647429,67109394,0.0,0.0,0.007209943,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4483269,0.9997892,-0.014878905,0.008233044,0.011509092,-0.00089615374,-8.074378e-06,0.0051963506,-4.8934704e-05,-6.656248e-06,0.0899271,3.2135117e-10,-7.2877974e-08,2.4738e-06,0.0,0.0,-1.3352933e-08,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.5456657e-11,9.579583e-06,0.00018888131,1.0124298e-06,0.0026679458,0.002667817,0.0015152841,8.360682,8.360682,0.20546491,0.312618,0.312618,4.089215,9.999992e-07,9.999881e-07,9.871977e-07,0.0,0.0,4.0000014e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014242261,0.0019450776,0.04447603,67109394,0.0,0.0,0.007209943,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4493273,0.99978864,-0.014878021,0.008233964,0.011561281,-0.000976273,2.2001137e-05,0.004964823,-5.830214e-05,-6.488668e-06,0.04876458,2.8770786e-10,-6.397228e-08,2.172442e-06,0.0,0.0,1.02654e-07,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.6059487e-11,9.5971e-06,0.00018757215,1.0029789e-06,0.0026811978,0.0026810486,0.0014268938,8.364514,8.364514,0.20560609,0.33849427,0.33849427,3.0662088,9.999992e-07,9.999854e-07,9.842464e-07,0.0,0.0,3.999993e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012724258,0.0014962602,0.0013346751,67109394,0.0,0.0,0.0021335024,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4503276,0.9997886,-0.014876279,0.008238355,0.0115620475,-0.00100718,1.8493853e-05,0.0053554527,-6.822337e-05,-6.2861122e-06,0.0488162,2.8770786e-10,-6.397228e-08,2.172442e-06,0.0,0.0,1.02654e-07,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.5504722e-11,9.548389e-06,0.00018526198,1.0081671e-06,0.0026949497,0.0026948012,0.0014350339,8.368548,8.368548,0.20583802,0.3660456,0.3660456,3.066781,9.999992e-07,9.999854e-07,9.842464e-07,0.0,0.0,3.9999936e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012700218,0.0014324882,0.0011294269,67109394,0.0,0.0,0.0021335024,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4513280,0.9997885,-0.014879837,0.0082404595,0.011561149,-0.0010360881,2.3915418e-06,0.005539043,-7.8445846e-05,-6.1816227e-06,0.048870705,2.8770786e-10,-6.397228e-08,2.172442e-06,0.0,0.0,1.02654e-07,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.532432e-11,9.533546e-06,0.0001835919,1.0138352e-06,0.002709201,0.0027090537,0.0014436664,8.372805,8.372805,0.20607795,0.39527315,0.39527315,3.0673945,9.999993e-07,9.999856e-07,9.842465e-07,0.0,0.0,3.9999936e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012679591,0.0013713421,0.0009319962,67109394,0.0,0.0,0.0021335024,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4523282,0.99978966,-0.014882602,0.008249571,0.011455468,-0.0010526777,-0.00033133957,0.00581478,-8.889477e-05,-8.117601e-06,0.04892752,3.78346e-10,-8.3600206e-08,2.8370898e-06,0.0,0.0,1.0265394e-07,0.23262027,-0.107920505,-0.29618657,0.0,0.0,0.0,0.0,0.0,5.523489e-11,9.493131e-06,0.0001821121,1.0067931e-06,0.0027239528,0.0027237865,0.0013647174,8.377274,8.377274,0.20632584,0.42617822,0.42617822,3.0680494,9.999993e-07,9.999824e-07,9.805873e-07,0.0,0.0,3.9999936e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014781681,0.0013132888,0.0007409331,67109394,0.0,0.0,0.00422593,0.0,6.848101e-07,6.848101e-07,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
