timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
10254541,0.999797,-0.015038828,0.007695659,0.010986167,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10259544,0.999797,-0.015036821,0.0076982537,0.010982385,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10264544,0.9997971,-0.015034661,0.007703013,0.010981245,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10269544,0.999797,-0.01503578,0.007702361,0.010979466,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10274546,0.99979705,-0.015036162,0.0077013476,0.010983318,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10279547,0.9997969,-0.015033647,0.0077015245,0.010989419,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10284591,0.9997968,-0.015037141,0.0077027692,0.010994581,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10289561,0.9997968,-0.015038557,0.0077042887,0.010996593,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10294550,0.9997966,-0.015042206,0.0077003743,0.011003047,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10299551,0.9997967,-0.015041619,0.0077006565,0.011009018,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10304553,0.9997966,-0.015037229,0.007694489,0.011017156,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10309554,0.9997966,-0.015036127,0.0076940646,0.011025773,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10314556,0.99979645,-0.015037335,0.0076936153,0.011032051,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10319557,0.9997965,-0.0150318695,0.0076878467,0.011037421,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10324558,0.99979657,-0.015031605,0.007684741,0.011043855,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10329559,0.99979645,-0.015027325,0.0076869237,0.011049022,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10334560,0.99979657,-0.015025756,0.0076804874,0.011054213,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
10339561,0.9997966,-0.015021068,0.007678701,0.011056624,1.0,-2.3509008e-09,1.986646e-09,7.721226e-05,2
