timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
4240971,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.0,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4436783,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.2,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4636846,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.5,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4834992,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.8,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5036508,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.0,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5234991,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.5,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5434923,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.8,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5634969,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.2,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5836697,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.5,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6034921,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.8,99.99,99.99,95,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
