timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
1870390,16.813644,16.805586,0.26369998,0.2710381,0.0,0.032958157,1.0,1.0,nan,4,4.2013965,4.2013965,4.2013965,4.2013965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1880389,16.828228,16.80581,0.3223,0.27204323,0.0,0.033853345,1.0,1.0,nan,4,4.2014527,4.2014527,4.2014527,4.2014527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1890478,16.799063,16.805744,0.26369998,0.27187964,0.0,0.03459251,1.0,1.0,nan,4,4.201436,4.201436,4.201436,4.201436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1900447,16.799063,16.805677,0.293,0.27229378,0.0,0.035403796,1.0,1.0,nan,4,4.2014194,4.2014194,4.2014194,4.2014194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1910418,16.813644,16.805756,0.293,0.27269977,0.0,0.036215324,1.0,1.0,nan,4,4.201439,4.201439,4.201439,4.201439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1920435,16.828228,16.805979,0.2344,0.27194878,0.0,0.03686754,1.0,1.0,nan,4,4.2014947,4.2014947,4.2014947,4.2014947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1930396,16.813644,16.806055,0.3223,0.27293608,0.0,0.03775852,1.0,1.0,nan,4,4.201514,4.201514,4.201514,4.201514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1940387,16.813644,16.80613,0.293,0.2733295,0.0,0.03857249,1.0,1.0,nan,4,4.2015324,4.2015324,4.2015324,4.2015324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1950388,16.813644,16.806204,0.293,0.2737152,0.0,0.03938646,1.0,1.0,nan,4,4.201551,4.201551,4.201551,4.201551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1960388,16.828228,16.806421,0.3223,0.27466783,0.0,0.040281646,1.0,1.0,nan,4,4.2016053,4.2016053,4.2016053,4.2016053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1970387,16.813644,16.806494,0.26369998,0.27445278,0.0,0.041014146,1.0,1.0,nan,4,4.2016234,4.2016234,4.2016234,4.2016234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1980387,16.813644,16.806564,0.3223,0.27539095,0.0,0.041909333,1.0,1.0,nan,4,4.201641,4.201641,4.201641,4.201641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1990387,16.813644,16.806635,0.2051,0.27401268,0.0,0.042479113,1.0,1.0,nan,4,4.2016587,4.2016587,4.2016587,4.2016587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2000395,16.828228,16.806849,0.293,0.27438498,0.0,0.04329292,1.0,1.0,nan,4,4.201712,4.201712,4.201712,4.201712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2010390,16.813644,16.806915,0.293,0.27474996,0.0,0.044107053,1.0,1.0,nan,4,4.201729,4.201729,4.201729,4.201729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020388,16.828228,16.807127,0.2344,0.2739588,0.0,0.044758033,1.0,1.0,nan,4,4.2017817,4.2017817,4.2017817,4.2017817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2030453,16.857393,16.807625,0.3223,0.27490667,0.0,0.045659218,1.0,1.0,nan,4,4.201906,4.201906,4.201906,4.201906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2040542,16.857393,16.808117,0.26369998,0.27468693,0.0,0.046398018,1.0,1.0,nan,4,4.202029,4.202029,4.202029,4.202029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2050496,16.813644,16.808172,0.26369998,0.2744715,0.0,0.047127295,1.0,1.0,nan,4,4.202043,4.202043,4.202043,4.202043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2060496,16.886557,16.808949,0.293,0.27483478,0.0,0.047941186,1.0,1.0,nan,4,4.202237,4.202237,4.202237,4.202237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2070454,16.799063,16.808851,0.293,0.27519095,0.0,0.048751738,1.0,1.0,nan,4,4.202213,4.202213,4.202213,4.202213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2080413,16.813644,16.808899,0.293,0.27554014,0.0,0.04956229,1.0,1.0,nan,4,4.2022247,4.2022247,4.2022247,4.2022247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2090395,16.857393,16.80938,0.26369998,0.27530798,0.0,0.050293397,1.0,1.0,nan,4,4.202345,4.202345,4.202345,4.202345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2100404,16.828228,16.809566,0.293,0.27565488,0.0,0.051108018,1.0,1.0,nan,4,4.2023916,4.2023916,4.2023916,4.2023916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2110386,16.84281,16.809896,0.3223,0.2765695,0.0,0.052001685,1.0,1.0,nan,4,4.202474,4.202474,4.202474,4.202474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2120389,16.828228,16.810078,0.3223,0.27746615,0.0,0.05289723,1.0,1.0,nan,4,4.2025194,4.2025194,4.2025194,4.2025194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2130418,16.84281,16.810402,0.293,0.27777073,0.0,0.053711038,1.0,1.0,nan,4,4.2026005,4.2026005,4.2026005,4.2026005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2140457,16.828228,16.81058,0.26369998,0.27749482,0.0,0.054448593,1.0,1.0,nan,4,4.202645,4.202645,4.202645,4.202645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2150407,16.769897,16.810177,0.26369998,0.27722433,0.0,0.05517743,1.0,1.0,nan,4,4.202544,4.202544,4.202544,4.202544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2160387,16.828228,16.810356,0.293,0.27753365,0.0,0.055989776,1.0,1.0,nan,4,4.202589,4.202589,4.202589,4.202589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2170387,16.828228,16.810534,0.26369998,0.2772624,0.0,0.056722276,1.0,1.0,nan,4,4.2026334,4.2026334,4.2026334,4.2026334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2180387,16.84281,16.810854,0.26369998,0.27699646,0.0,0.057454776,1.0,1.0,nan,4,4.2027135,4.2027135,4.2027135,4.2027135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2190400,16.84281,16.81117,0.293,0.27731025,0.0,0.058269642,1.0,1.0,nan,4,4.2027926,4.2027926,4.2027926,4.2027926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2200387,16.828228,16.81134,0.293,0.2776179,0.0,0.059082553,1.0,1.0,nan,4,4.202835,4.202835,4.202835,4.202835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2210398,16.828228,16.811508,0.3223,0.27849403,0.0,0.05997801,1.0,1.0,nan,4,4.202877,4.202877,4.202877,4.202877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2220389,16.84281,16.81182,0.26369998,0.27820396,0.0,0.060710434,1.0,1.0,nan,4,4.202955,4.202955,4.202955,4.202955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2230388,16.828228,16.811981,0.293,0.2784941,0.0,0.061524324,1.0,1.0,nan,4,4.2029953,4.2029953,4.2029953,4.2029953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2240389,16.857393,16.812431,0.26369998,0.27820402,0.0,0.062256824,1.0,1.0,nan,4,4.203108,4.203108,4.203108,4.203108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2250399,16.799063,16.8123,0.3223,0.27906865,0.0,0.06315282,1.0,1.0,nan,4,4.203075,4.203075,4.203075,4.203075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2260388,16.828228,16.812458,0.293,0.27934182,0.0,0.063965976,1.0,1.0,nan,4,4.2031145,4.2031145,4.2031145,4.2031145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2270388,16.84281,16.81276,0.26369998,0.27903512,0.0,0.06469855,1.0,1.0,nan,4,4.20319,4.20319,4.20319,4.20319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
