timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
4240939,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.0,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4435941,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4636086,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.5,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4836123,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5036062,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.0,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5234945,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.5,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5434938,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5634938,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5835982,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.5,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6034938,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6234972,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.0,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6434973,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.5,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6636224,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.8,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6834956,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.0,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7034939,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.5,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7234937,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.8,99.99,99.99,97,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7436320,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.0,99.99,99.99,97,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7634936,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.5,99.99,99.99,97,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7836392,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.0,99.99,99.99,97,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8036254,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.2,99.99,99.99,97,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8237219,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8436482,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8636662,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.5,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8836751,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750010.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9036659,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750010.5,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9234977,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750010.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9436508,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750011.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9634936,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750011.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9836838,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10035027,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10234972,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750013.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10435933,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750013.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10635934,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750014.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10835093,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750015.2,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11035934,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750015.8,99.99,99.99,97,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11235153,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750016.2,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11435934,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750017.0,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11634938,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750017.5,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11837249,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750018.2,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12037415,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750018.8,99.99,99.99,97,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12237530,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750019.5,99.99,99.99,97,17,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12437252,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750020.0,99.99,99.99,97,17,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12635938,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750020.8,99.99,99.99,97,17,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
