timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11086606,0.2534124,-0.007765041,-0.012052246,0.96725214,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11091606,0.25341582,-0.007763868,-0.012053392,0.96725124,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11096607,0.2534127,-0.007765106,-0.012054825,0.96725196,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11101607,0.25341272,-0.0077652023,-0.012053388,0.9672521,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11106608,0.25341535,-0.0077658943,-0.01205562,0.96725124,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11111609,0.253414,-0.0077677094,-0.012055367,0.9672517,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11116609,0.2534113,-0.0077678086,-0.012059384,0.96725225,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11121611,0.25340918,-0.007765719,-0.012058946,0.9672529,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11126611,0.2534205,-0.0077646766,-0.012061004,0.96724993,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11131611,0.25343227,-0.0077638933,-0.012063883,0.9672468,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11136612,0.2534424,-0.007764007,-0.01206439,0.96724415,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11141613,0.25345227,-0.0077625997,-0.012068989,0.96724147,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11146614,0.25346097,-0.0077619394,-0.012068694,0.9672392,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11151614,0.25347215,-0.0077621713,-0.012070707,0.9672363,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11156615,0.25348473,-0.00775868,-0.012073944,0.967233,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11161616,0.25349504,-0.0077581266,-0.012076002,0.9672302,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11166617,0.25352812,-0.007757837,-0.0120735215,0.96722156,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11171659,0.25355962,-0.007756266,-0.012070446,0.9672134,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11176631,0.2535888,-0.0077570733,-0.012071607,0.96720564,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11181619,0.25361678,-0.007757869,-0.012069116,0.96719843,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11186627,0.2536434,-0.0077553247,-0.0120724505,0.96719134,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11191620,0.2536727,-0.0077597867,-0.012075156,0.96718365,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11196624,0.25369614,-0.0077620787,-0.012079066,0.96717745,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11201669,0.2537221,-0.007765588,-0.012078771,0.96717054,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11206652,0.2537512,-0.0077682124,-0.012080522,0.9671629,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11211640,0.25377694,-0.0077687902,-0.0120831,0.9671561,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11216635,0.2538013,-0.0077694138,-0.012085009,0.96714973,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11221624,0.253824,-0.0077712024,-0.012087799,0.9671437,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11226626,0.25385058,-0.007772727,-0.012089467,0.9671366,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11231623,0.25387394,-0.007771643,-0.012087173,0.96713066,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11236626,0.25389513,-0.0077701714,-0.012090134,0.96712506,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11241627,0.25392175,-0.007769879,-0.012087475,0.967118,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11246628,0.25394574,-0.0077697174,-0.0120881945,0.9671117,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11251629,0.25396562,-0.0077658943,-0.012086767,0.96710664,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11256630,0.25398794,-0.0077668154,-0.012086247,0.9671007,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11261630,0.25401285,-0.0077677453,-0.012086915,0.9670941,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11266631,0.25403276,-0.007765901,-0.012090968,0.96708894,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11271631,0.2540515,-0.007770452,-0.012089454,0.967084,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11276632,0.25407377,-0.007769115,-0.012089684,0.96707815,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11281633,0.25409672,-0.007769407,-0.01209388,0.96707207,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11286634,0.25411412,-0.007770569,-0.012095846,0.96706736,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11291635,0.25413433,-0.0077701174,-0.012093392,0.9670621,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11296635,0.2541567,-0.0077707632,-0.012095832,0.9670562,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11301636,0.2541766,-0.007772999,-0.012095703,0.96705097,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11306637,0.25419912,-0.0077729844,-0.012098016,0.96704507,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11311667,0.25421986,-0.0077741398,-0.012096118,0.96703964,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11316634,0.25424057,-0.0077734035,-0.012095042,0.9670342,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11321639,0.2542607,-0.007774159,-0.012097062,0.9670288,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11326640,0.25428274,-0.00777368,-0.012094495,0.9670231,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11331650,0.2543053,-0.00777323,-0.012094368,0.9670171,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11336641,0.25433236,-0.0077720955,-0.012092967,0.96701014,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11341641,0.2543572,-0.007770727,-0.0120907305,0.9670035,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11346642,0.2543767,-0.0077706114,-0.012090502,0.9669985,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11351643,0.2544,-0.0077694496,-0.012089039,0.9669924,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11356644,0.2544213,-0.0077683222,-0.012091497,0.9669868,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11361645,0.25444257,-0.007769996,-0.012089413,0.9669812,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11366645,0.25446165,-0.0077703497,-0.012091602,0.96697605,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11371646,0.25448284,-0.0077732503,-0.012088705,0.96697056,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11376647,0.25449982,-0.0077760727,-0.012091882,0.96696603,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11381650,0.2545197,-0.0077787717,-0.012092168,0.96696067,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11386648,0.25453326,-0.007781725,-0.0120971715,0.96695703,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11391649,0.25455114,-0.0077817435,-0.012099693,0.9669523,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11396650,0.25456667,-0.0077809654,-0.01210168,0.9669482,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11401650,0.25458473,-0.0077825626,-0.012099742,0.96694356,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11406652,0.25459862,-0.0077793156,-0.012097609,0.96693987,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11411652,0.25461373,-0.0077794823,-0.012096601,0.966936,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11416652,0.25462463,-0.0077775177,-0.012095029,0.96693313,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11421653,0.2546402,-0.0077790655,-0.012097346,0.96692896,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11426654,0.2546544,-0.0077818874,-0.0120998025,0.96692514,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11431655,0.2546656,-0.0077875857,-0.012099394,0.96692216,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11436655,0.25467724,-0.0077878893,-0.012102611,0.966919,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11441656,0.2546881,-0.0077902055,-0.01210135,0.96691614,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11446657,0.2546997,-0.007788375,-0.012104351,0.9669131,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11451658,0.25470674,-0.007785,-0.012104198,0.96691126,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11456658,0.25471923,-0.0077846604,-0.01210045,0.96690804,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11461659,0.2547281,-0.007789213,-0.012102592,0.9669057,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11466660,0.2547386,-0.007784272,-0.01209797,0.9669029,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11471661,0.25474748,-0.0077861343,-0.012097173,0.9669006,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11476661,0.25475526,-0.0077884113,-0.012101954,0.9668985,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11481662,0.25476098,-0.007783982,-0.012099416,0.9668971,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11486662,0.25476742,-0.007784004,-0.012103173,0.9668953,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11491663,0.2547737,-0.0077878516,-0.012100971,0.9668936,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11496664,0.25478053,-0.007785249,-0.012100011,0.96689194,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11501675,0.25478697,-0.0077896966,-0.012099326,0.9668902,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11506665,0.2547909,-0.0077913427,-0.012099065,0.9668891,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11511666,0.2547938,-0.007787039,-0.012098988,0.96688837,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11516667,0.25479788,-0.0077873147,-0.012102383,0.96688724,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
11521697,0.25480372,-0.00778853,-0.012104042,0.9668857,0.99999934,-1.355611e-09,-9.9126526e-11,-0.0011676346,2
