timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
4247916,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.0,99.99,99.99,103,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4442915,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.2,99.99,99.99,103,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4642930,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.5,99.99,99.99,103,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4842907,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.8,99.99,99.99,103,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5042961,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.0,99.99,99.99,103,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5241911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.5,99.99,99.99,103,25,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5441910,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.8,99.99,99.99,103,25,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5642057,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.2,99.99,99.99,103,25,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5842908,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.5,99.99,99.99,103,25,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6041919,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.8,99.99,99.99,103,25,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6241910,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.0,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6441911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.5,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6639742,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.8,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6841910,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.0,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7041911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.5,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7241945,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.8,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7443007,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.0,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7641916,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.5,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7843146,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.0,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8042914,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.2,99.99,99.99,102,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8243977,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.8,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8442911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.2,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8642944,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.5,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8842977,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750010.2,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9042908,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750010.5,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9241911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750010.8,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9442959,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750011.2,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9641936,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750011.8,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
9842962,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.2,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10041911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.8,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10241912,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750013.2,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10441918,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750013.8,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10642909,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750014.8,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
10841946,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750015.2,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11041912,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750015.8,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11241922,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750016.2,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11442912,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750017.0,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11642908,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750017.5,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
11842911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750018.2,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12042941,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750018.8,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12243910,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750019.5,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12443001,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750020.0,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12643015,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750020.8,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
12843098,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750021.2,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
13043267,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750021.8,99.99,99.99,102,23,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
13242907,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750022.5,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
13442908,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750023.2,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
13642910,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750024.0,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
13842962,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750024.8,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
14042935,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750025.8,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
14239919,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750026.5,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
14439919,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750027.0,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
14642911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750028.0,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
14842909,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750028.5,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
15042908,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750029.5,99.99,99.99,102,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
15242911,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750030.2,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
15439923,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750031.0,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
15641925,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750031.8,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
15843910,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750032.5,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
16043907,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750033.2,99.99,99.99,102,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
16243995,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750034.0,99.99,99.99,101,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
16443930,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750035.0,99.99,99.99,101,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
16644041,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750036.0,99.99,99.99,101,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
16844079,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750037.0,99.99,99.99,101,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
17042932,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750037.8,99.99,99.99,101,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
18643910,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750045.2,99.99,99.99,101,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
18840918,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750046.5,99.99,99.99,101,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
19043909,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750047.2,99.99,99.99,101,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
