timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
10251834,0.9998213,-0.015240372,0.007620434,0.008186472,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10256837,0.9998213,-0.015239085,0.0076213554,0.008188585,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10261837,0.9998213,-0.015237857,0.0076242876,0.008189001,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10266840,0.9998213,-0.015238458,0.007625824,0.008190179,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10271843,0.9998213,-0.015238165,0.0076256082,0.008190849,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10276842,0.99982125,-0.015236743,0.007625789,0.008195093,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10281843,0.9998212,-0.015236091,0.007625694,0.008203458,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10286844,0.9998211,-0.015238403,0.007627356,0.008207048,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10291846,0.9998212,-0.015235394,0.007626759,0.0082094185,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10296847,0.9998211,-0.0152354995,0.0076261,0.008214699,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10301849,0.99982107,-0.015237984,0.00762639,0.008217218,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10306850,0.999821,-0.015237934,0.0076262825,0.008221677,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10311852,0.99982107,-0.015237255,0.0076262453,0.008225762,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10316853,0.9998209,-0.015237105,0.0076284697,0.008235612,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10321855,0.9998208,-0.015238209,0.007630802,0.008241948,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10326856,0.99982077,-0.0152393915,0.0076340516,0.008247907,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10331858,0.99982065,-0.015242728,0.0076329033,0.008253126,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10336859,0.99982065,-0.015239231,0.007630146,0.008258589,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10341861,0.9998206,-0.015237921,0.0076319342,0.008263883,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10346862,0.9998206,-0.015239945,0.0076335478,0.008269523,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10351864,0.9998205,-0.0152434595,0.007630831,0.008275347,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10356865,0.9998204,-0.015243565,0.0076310714,0.008279904,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10361868,0.99982035,-0.01524316,0.0076334584,0.008287749,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10366868,0.99982023,-0.015240203,0.007638594,0.00829891,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10371869,0.9998202,-0.015239194,0.0076372954,0.008306775,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10376871,0.99982023,-0.015237799,0.0076355524,0.008315206,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10381872,0.9998202,-0.015236291,0.0076349312,0.008325097,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10386874,0.99982,-0.0152359875,0.0076357396,0.008335171,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10391876,0.99981993,-0.015236992,0.007633459,0.008343643,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10396877,0.9998199,-0.015237517,0.0076322975,0.008352935,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10401879,0.99981976,-0.015238479,0.0076362877,0.008367331,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10406889,0.99981964,-0.015237419,0.0076364386,0.008380764,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10411885,0.99981964,-0.015235367,0.007638444,0.008388965,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10416927,0.9998195,-0.015237645,0.0076370286,0.008397571,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10421892,0.9998194,-0.015239916,0.007636305,0.0084076,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10426886,0.9998193,-0.015241099,0.007633811,0.008419805,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10431888,0.99981916,-0.015241078,0.007632298,0.008435781,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10436889,0.9998191,-0.01523559,0.0076332535,0.008452388,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10441891,0.999819,-0.015234362,0.007633978,0.00846757,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10446892,0.9998188,-0.015238174,0.007633863,0.008483144,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10451893,0.9998187,-0.015237063,0.0076315724,0.008498358,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10456895,0.9998185,-0.015237067,0.007629946,0.008518739,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10461896,0.9998183,-0.015237588,0.007630377,0.008536555,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10466899,0.9998182,-0.015239341,0.007631186,0.008552551,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10471903,0.99981815,-0.01523601,0.0076291123,0.008567739,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10476902,0.99981797,-0.015240654,0.0076292283,0.008581795,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10481904,0.9998178,-0.015242318,0.007630341,0.008599608,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10486905,0.99981767,-0.015242036,0.0076275817,0.00861614,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10491908,0.9998175,-0.0152440155,0.0076252436,0.008631801,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10496907,0.9998174,-0.015245426,0.0076276865,0.008644343,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10501908,0.99981725,-0.015247039,0.0076267384,0.008657415,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10506910,0.9998171,-0.015249382,0.007627701,0.008671656,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10511911,0.99981695,-0.015249494,0.0076298183,0.008684088,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10516912,0.99981683,-0.0152482595,0.007630319,0.008697351,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10521915,0.9998167,-0.015246686,0.0076324893,0.008710817,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10526923,0.9998166,-0.0152465515,0.00763197,0.008723199,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10531917,0.9998165,-0.015247601,0.007631541,0.00873644,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10536919,0.99981636,-0.015247686,0.007628764,0.008746762,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10541921,0.9998164,-0.015245609,0.0076243896,0.008756652,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10546933,0.9998164,-0.015237919,0.0076300898,0.008760856,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10551974,0.99981636,-0.015237219,0.0076228296,0.0087738475,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10556964,0.9998164,-0.015231118,0.00762781,0.008776371,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10561963,0.9998162,-0.015239944,0.0076225614,0.008786675,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10566940,0.99981636,-0.01523155,0.007624695,0.008792494,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10571937,0.999816,-0.015242938,0.0076195896,0.008803704,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10576934,0.999816,-0.015241524,0.0076272693,0.0088104615,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10581932,0.999816,-0.015240548,0.007616517,0.0088156685,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10586934,0.99981576,-0.015248025,0.007623134,0.008819478,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10591939,0.99981576,-0.015247627,0.0076166615,0.008826547,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10596989,0.99981594,-0.015242673,0.0076154107,0.008826881,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10601974,0.99981594,-0.015241367,0.0076131932,0.008828639,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10606939,0.9998159,-0.015239429,0.00761371,0.008832905,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10611942,0.99981594,-0.015235984,0.0076161483,0.008833368,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10616947,0.999816,-0.015233692,0.00761596,0.0088356845,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10621951,0.99981594,-0.0152302915,0.0076196357,0.008836386,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10626946,0.99981594,-0.015230014,0.0076188734,0.0088334875,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10631953,0.999816,-0.015229244,0.0076200194,0.008836849,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10636948,0.999816,-0.015228019,0.007621012,0.008836305,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10641960,0.999816,-0.015226562,0.0076221013,0.008836337,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10646952,0.999816,-0.015224991,0.0076240576,0.008839559,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10651955,0.9998159,-0.015233298,0.007622098,0.0088416245,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10656957,0.9998159,-0.015232384,0.0076221814,0.0088422,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10661960,0.9998158,-0.015236332,0.0076189023,0.00884399,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10666957,0.9998158,-0.015236033,0.007620414,0.008843123,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10671959,0.9998158,-0.0152381,0.007617215,0.008847762,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10676961,0.9998158,-0.015237606,0.0076198704,0.008846316,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10681969,0.9998158,-0.015236436,0.0076169847,0.008844168,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10686965,0.99981576,-0.015237275,0.007620255,0.008840508,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10691967,0.9998158,-0.015237705,0.0076214923,0.008835998,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10696966,0.99981576,-0.015240201,0.007619878,0.008836389,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10701978,0.99981576,-0.015240873,0.0076184766,0.008836303,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10706969,0.9998159,-0.015241339,0.007616941,0.008833698,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10711973,0.99981594,-0.015236992,0.0076164594,0.008831621,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10716972,0.9998159,-0.015239872,0.0076151574,0.008831215,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10721982,0.9998159,-0.015240826,0.007618104,0.008828672,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10726975,0.9998159,-0.015241565,0.007616623,0.008827957,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10731976,0.9998159,-0.015242275,0.0076172114,0.008826637,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10736979,0.9998159,-0.015241432,0.0076152887,0.0088267485,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10741979,0.99981594,-0.015240537,0.0076161292,0.00881956,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10746981,0.999816,-0.015239139,0.0076166093,0.0088154,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10751982,0.9998161,-0.015241561,0.0076166037,0.008809985,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10756987,0.99981606,-0.01524354,0.00761764,0.008803553,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10761986,0.99981606,-0.015242104,0.007619244,0.008802256,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10766987,0.9998161,-0.015242842,0.007620452,0.008798361,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10771990,0.9998161,-0.0152407335,0.0076160217,0.008796063,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10776990,0.9998163,-0.0152362045,0.007616514,0.00879603,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10782033,0.9998162,-0.015235996,0.007615707,0.008797232,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10787006,0.9998164,-0.015227023,0.007614395,0.008796737,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10791998,0.9998165,-0.015225433,0.007612566,0.008789862,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10796996,0.9998166,-0.01522167,0.0076116193,0.008783294,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10801998,0.9998167,-0.015218724,0.0076098638,0.008779122,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10806999,0.9998167,-0.015220815,0.007611365,0.00877482,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10812000,0.9998168,-0.015222117,0.0076116086,0.008771391,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10817002,0.9998167,-0.015222726,0.0076113967,0.008765863,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10822003,0.9998168,-0.015223195,0.0076144687,0.0087596215,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10827008,0.9998168,-0.015226834,0.007613974,0.008751921,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10832007,0.9998168,-0.015230811,0.007612344,0.008747769,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10837008,0.99981683,-0.015230082,0.007613446,0.0087426,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10842009,0.9998169,-0.015229213,0.00761586,0.008736739,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
10847011,0.9998168,-0.015232926,0.0076179467,0.008732981,0.9999997,-7.347644e-10,-1.164196e-09,-0.0007662934,2
