timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1859361,5.225537,3.3338377,1,0,1,0,1,0,0
1869335,5.1836424,3.3322265,1,0,1,0,1,0,0
1879302,5.24165,3.3322265,1,0,1,0,1,0,0
1889311,5.1723633,3.3789551,1,0,1,0,1,0,0
1899311,5.22876,3.3306153,1,0,1,0,1,0,0
1909340,5.2223144,3.3580077,1,0,1,0,1,0,0
1919302,5.1836424,3.3338377,1,0,1,0,1,0,0
1929303,5.2223144,3.3290038,1,0,1,0,1,0,0
1939333,5.167529,3.3580077,1,0,1,0,1,0,0
1949303,5.2464843,3.3338377,1,0,1,0,1,0,0
1959300,5.21748,3.3290038,1,0,1,0,1,0,0
1969354,5.1755857,3.3338377,1,0,1,0,1,0,0
1979310,5.235205,3.3290038,1,0,1,0,1,0,0
1989300,5.1594725,3.3322265,1,0,1,0,1,0,0
1999289,5.2368164,3.3338377,1,0,1,0,1,0,0
2009302,5.2078123,3.3322265,1,0,1,0,1,0,0
2019300,5.190088,3.3354492,1,0,1,0,1,0,0
2029330,5.2480955,3.3580077,1,0,1,0,1,0,0
2039349,5.2464843,3.3322265,1,0,1,0,1,0,0
2049338,5.2110353,3.3306153,1,0,1,0,1,0,0
2059356,5.243262,3.3306153,1,0,1,0,1,0,0
2069358,5.244873,3.3322265,1,0,1,0,1,0,0
2079357,5.2464843,3.3547852,1,0,1,0,1,0,0
2089366,5.2497067,3.3322265,1,0,1,0,1,0,0
2099437,5.230371,3.3322265,1,0,1,0,1,0,0
2109369,5.2497067,3.3515625,1,0,1,0,1,0,0
2119371,5.254541,3.3306153,1,0,1,0,1,0,0
2129313,5.2480955,3.3322265,1,0,1,0,1,0,0
2139303,5.2513185,3.3306153,1,0,1,0,1,0,0
2149305,5.2529297,3.3547852,1,0,1,0,1,0,0
2159301,5.256152,3.3306153,1,0,1,0,1,0,0
2169305,5.2384276,3.3322265,1,0,1,0,1,0,0
2179332,5.2368164,3.3322265,1,0,1,0,1,0,0
2189299,5.240039,3.3290038,1,0,1,0,1,0,0
2199305,5.225537,3.3322265,1,0,1,0,1,0,0
2209332,5.24165,3.3547852,1,0,1,0,1,0,0
2219300,5.2384276,3.3338377,1,0,1,0,1,0,0
2229300,5.235205,3.3338377,1,0,1,0,1,0,0
2239300,5.235205,3.3547852,1,0,1,0,1,0,0
2249301,5.2335935,3.3547852,1,0,1,0,1,0,0
2259385,5.231982,3.3322265,1,0,1,0,1,0,0
2269386,5.2464843,3.3322265,1,0,1,0,1,0,0
2279303,5.220703,3.3322265,1,0,1,0,1,0,0
2289309,5.240039,3.3306153,1,0,1,0,1,0,0
2299332,5.235205,3.3290038,1,0,1,0,1,0,0
2309302,5.2368164,3.3370605,1,0,1,0,1,0,0
2319299,5.243262,3.3563964,1,0,1,0,1,0,0
2329299,5.243262,3.3338377,1,0,1,0,1,0,0
2339304,5.230371,3.3531737,1,0,1,0,1,0,0
2349300,5.235205,3.3531737,1,0,1,0,1,0,0
2359300,5.2497067,3.3322265,1,0,1,0,1,0,0
2369268,5.244873,3.3306153,1,0,1,0,1,0,0
2379321,5.2223144,3.325781,1,0,1,0,1,0,0
2389333,5.2384276,3.3290038,1,0,1,0,1,0,0
2399299,5.240039,3.3322265,1,0,1,0,1,0,0
2409299,5.2335935,3.3322265,1,0,1,0,1,0,0
2419369,5.243262,3.3322265,1,0,1,0,1,0,0
