timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
10285832,0,0.0,0.0,0.0,0.0,0.11797486,9.660185e-07,1.8809061e-07,0.0,0.001312826,0.0030159357,0.009500881,0.0056015803,0.00019316506,3.76106e-05,0.0,-0.009955354,0.018060517,0.0025203421,0.006777849,0.00064417947,0.0,0.10066123,0.44934085,0.98326725,0.63710177,0.49317616,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10295837,0,0.0,0.0,0.0,0.0,0.11809555,9.660185e-07,1.8809061e-07,0.0,0.0013810672,0.0029640463,0.009480913,0.005639634,0.00019316506,3.76106e-05,0.0,0.012720138,0.0077842404,-0.009255429,0.0067582503,0.00064417947,0.0,0.10064298,0.45466754,0.98743004,0.63713956,0.494262,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10305836,0,0.0,0.0,0.0,0.0,0.11840251,9.660185e-07,1.8809061e-07,0.0,0.0013516599,0.0029596863,0.009557934,0.00596782,0.00019316506,3.76106e-05,0.0,-0.0021146287,0.0072844047,0.0031433909,0.0067427247,0.00064417947,0.0,0.10509533,0.4600208,0.9540562,0.6372288,0.48201203,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10315837,0,0.0,0.0,0.0,0.0,0.11870404,9.660185e-07,1.8809061e-07,0.0,0.0013575652,0.003033206,0.009644407,0.0062962878,0.00019316506,3.76106e-05,0.0,0.0073877405,0.007864257,0.0040784404,0.0067269793,0.00064417947,0.0,0.10491646,0.46539986,0.95808953,0.63736916,0.48308077,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10325839,0,0.0,0.0,0.0,0.0,0.11900071,9.660185e-07,1.8809061e-07,0.0,0.0013260805,0.0030383682,0.009739813,0.006624819,0.00019316506,3.76106e-05,0.0,-0.01186954,-0.00015852656,-0.003963099,0.006690736,0.00064417947,0.0,0.104743324,0.4708039,0.96213734,0.63756096,0.48415002,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10335840,0,0.0,0.0,0.0,0.0,0.11929268,9.660185e-07,1.8809061e-07,0.0,0.0012685885,0.0030923034,0.0098570585,0.006966608,0.00019316506,3.76106e-05,0.0,-0.0024283614,-0.010829879,-0.0020729408,0.0066653225,0.00064417947,0.0,0.1045744,0.47623226,0.96619964,0.6378045,0.4852198,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10345842,0,0.0,0.0,0.0,0.0,0.119579874,9.660185e-07,1.8809061e-07,0.0,0.0012981973,0.002981613,0.009895041,0.0072208336,0.00019316506,3.76106e-05,0.0,0.006178876,-0.0032413206,-0.009941682,0.006644486,0.00064417947,0.0,0.10440958,0.4816843,0.97027636,0.6380989,0.4862901,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10355843,0,0.0,0.0,0.0,0.0,0.11986189,9.660185e-07,1.8809061e-07,0.0,0.0012621483,0.0029364536,0.009939807,0.0074738143,0.00019316506,3.76106e-05,0.0,-0.00022595534,0.006457133,0.0013483657,0.0066348184,0.00064417947,0.0,0.10424999,0.48715943,0.97436744,0.6384446,0.48736086,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10365846,0,0.0,0.0,0.0,0.0,0.12013956,9.660185e-07,1.8809061e-07,0.0,0.0012091494,0.0029747915,0.010034761,0.0077692377,0.00019316506,3.76106e-05,0.0,0.004160168,0.011780675,0.005469288,0.0066199778,0.00064417947,0.0,0.104095586,0.4926571,0.9784729,0.6388427,0.48843217,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10375847,0,0.0,0.0,0.0,0.0,0.120413,9.660185e-07,1.8809061e-07,0.0,0.0012321969,0.0029820492,0.009998801,0.007926217,0.00019316506,3.76106e-05,0.0,-0.0021323445,0.011164022,-0.023790287,0.006619165,0.00064417947,0.0,0.103945084,0.49817678,0.98259276,0.6392884,0.48950395,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
