timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
4248963,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.0,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4442952,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.2,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4642944,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.5,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
4842943,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750002.8,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5042115,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.0,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5242012,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.5,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5442005,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750003.8,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5641988,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.2,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
5842941,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.5,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6041987,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750004.8,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6241949,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.0,99.99,99.99,102,7,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6441947,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.5,99.99,99.99,102,7,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6642947,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750005.8,99.99,99.99,102,7,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
6842045,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.0,99.99,99.99,102,7,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7042135,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.5,99.99,99.99,102,7,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7242001,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.8,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7442941,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.0,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7642044,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.5,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
7844002,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.0,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8044047,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.2,99.99,99.99,102,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8244124,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.8,99.99,99.99,102,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
8444047,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.2,99.99,99.99,102,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0
