timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1850685,-0.08110753,-5.706948e-05,-0.23697425
1861948,-0.08110753,0.002848747,-0.23068433
1873797,-0.08110753,0.002848747,-0.2338293
1884962,-0.084081106,-5.706948e-05,-0.2338293
1896112,-0.08110753,-5.706948e-05,-0.2401192
1907295,-0.08110753,-5.706948e-05,-0.23068433
1918476,-0.08110753,-5.706948e-05,-0.2338293
1929617,-0.08110753,-5.706948e-05,-0.23697425
1940764,-0.08110753,0.002848747,-0.22753938
1951982,-0.08110753,-5.706948e-05,-0.23697425
1963241,-0.08110753,-5.706948e-05,-0.2338293
1974417,-0.084081106,0.002848747,-0.23068433
1985660,-0.08110753,-5.706948e-05,-0.23697425
1996938,-0.08110753,-5.706948e-05,-0.23697425
2008191,-0.08110753,-5.706948e-05,-0.22753938
2019420,-0.08110753,-5.706948e-05,-0.23068433
2030694,-0.07813393,-5.706948e-05,-0.23697425
2041973,-0.08110753,-5.706948e-05,-0.23068433
2053168,-0.08110753,-5.706948e-05,-0.23697425
2064428,-0.08110753,-5.706948e-05,-0.23068433
2075733,-0.08110753,-0.0029628896,-0.2338293
2086977,-0.08110753,-5.706948e-05,-0.23068433
2098174,-0.08110753,-5.706948e-05,-0.23068433
2109476,-0.08110753,-5.706948e-05,-0.2338293
2120679,-0.07813393,-5.706948e-05,-0.23068433
2132321,-0.08110753,-0.0029628896,-0.2338293
2143508,-0.08110753,-5.706948e-05,-0.23068433
2154660,-0.07813393,-5.706948e-05,-0.23068433
2165820,-0.08110753,-5.706948e-05,-0.23068433
2176972,-0.084081106,-5.706948e-05,-0.23068433
2188190,-0.08110753,-5.706948e-05,-0.23068433
2199440,-0.08110753,-5.706948e-05,-0.23068433
2210714,-0.08110753,-5.706948e-05,-0.23697425
2221946,-0.08110753,-5.706948e-05,-0.23697425
2233208,-0.08110753,-5.706948e-05,-0.2338293
2244480,-0.084081106,-5.706948e-05,-0.23068433
2255717,-0.08110753,-5.706948e-05,-0.2338293
2266959,-0.08110753,-5.706948e-05,-0.23068433
2278256,-0.08110753,-5.706948e-05,-0.23068433
2289498,-0.07813393,-5.706948e-05,-0.2338293
2300717,-0.084081106,-5.706948e-05,-0.2338293
