timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
25750992,1619011641200282,-339385940,188741653,129943,161250,0.18400002,0.5401684,0.78300005,1.087,0.59,0.97999996,107,13,0.024,0.008,-0.023000002,-0.009000001,6.0305357,0,nan,0.0,3,1,17
25950967,1619011641400282,-339385942,188741651,129895,161202,0.15200001,0.5401762,0.781,1.0840001,0.59,0.97999996,107,13,0.098000005,0.003,-0.098000005,0.008,6.0305357,0,nan,0.0,3,1,17
26150005,1619011641600282,-339385944,188741649,129846,161153,0.16100001,0.54018426,0.77900004,1.082,0.59,0.97999996,107,13,0.05,-0.018000001,-0.047000002,0.020000001,6.0305357,0,nan,0.0,3,1,17
26348074,1619011641800282,-339385944,188741649,129833,161140,0.15900001,0.5401925,0.777,1.079,0.59,0.97999996,107,12,0.09900001,0.059000004,0.079,-0.025,6.0305357,0,nan,0.0,3,1,17
26548966,1619011642000282,-339385945,188741648,129815,161122,0.17500001,0.54020137,0.77500004,1.0760001,0.59,0.97999996,107,12,0.095000006,-0.087000005,-0.039,0.024,6.0305357,0,nan,0.0,3,1,17
26747067,1619011642200282,-339385947,188741646,129794,161101,0.16600001,0.5402098,0.77300006,1.074,0.59,0.97999996,107,12,0.067,-0.035,-0.058000002,0.029000001,6.0305357,0,nan,0.0,3,1,17
26947078,1619011642400282,-339385947,188741645,129766,161074,0.157,0.5402178,0.771,1.0710001,0.59,0.97999996,107,12,0.057000004,0.048,-0.031000001,0.027,6.0305357,0,nan,0.0,3,1,17
27147200,1619011642600282,-339385948,188741644,129731,161038,0.19900002,0.5402279,0.76900005,1.069,0.59,0.97999996,107,12,0.035,-0.024,-0.026,0.032,6.0305357,0,nan,0.0,3,1,17
27346991,1619011642800282,-339385948,188741642,129716,161023,0.157,0.54023594,0.767,1.0660001,0.59,0.97999996,107,9,0.09200001,-0.020000001,-0.09,0.049000002,6.0305357,0,nan,0.0,3,1,17
27542968,1619011643000282,-339385949,188741641,129692,160999,0.22200002,0.5402471,0.76500005,1.064,0.59,0.97999996,107,9,0.060000002,-0.060000002,0.0,0.052,6.0305357,0,nan,0.0,3,1,17
27747115,1619011643200282,-339385950,188741642,129670,160978,0.23500001,0.5402592,0.763,1.0610001,0.59,0.97999996,107,9,0.010000001,-0.0050000004,-0.008,0.065000005,6.0305357,0,nan,0.0,3,1,17
27946212,1619011643400282,-339385950,188741642,129654,160961,0.16900001,0.5402677,0.762,1.059,0.59,0.97999996,107,9,0.027,0.0,0.027,0.009000001,6.0305357,0,nan,0.0,3,1,17
28146083,1619011643600282,-339385949,188741644,129648,160956,0.147,0.5402752,0.76000005,1.056,0.59,0.97999996,107,9,0.033,0.012,0.031000001,0.008,6.0305357,0,nan,0.0,3,1,17
28347966,1619011643800282,-339385948,188741646,129652,160959,0.23700002,0.54028726,0.758,1.054,0.59,0.97999996,107,13,0.032,-0.032,0.006,0.049000002,6.0305357,0,nan,0.0,3,1,17
28547967,1619011644000282,-339385948,188741647,129640,160948,0.149,0.54029477,0.757,1.052,0.59,0.97999996,107,13,0.038000003,0.022000002,-0.031000001,0.021000002,6.0305357,0,nan,0.0,3,1,17
28750972,1619011644200282,-339385946,188741648,129633,160941,0.16700001,0.5403033,0.75600004,1.0500001,0.59,0.97999996,107,13,0.047000002,0.047000002,0.002,0.039,6.0305357,0,nan,0.0,3,1,17
28949966,1619011644400282,-339385945,188741649,129638,160946,0.155,0.54031116,0.75500005,1.0480001,0.59,0.97999996,107,13,0.060000002,0.018000001,-0.058000002,0.048,6.0305357,0,nan,0.0,3,1,17
29148971,1619011644600282,-339385943,188741649,129639,160947,0.22700001,0.54032266,0.754,1.047,0.59,0.97999996,107,13,0.019000001,-0.008,-0.017,0.096,6.0305357,0,nan,0.0,3,1,17
29348054,1619011644800282,-339385941,188741650,129640,160948,0.158,0.5403307,0.753,1.0450001,0.59,0.97999996,107,6,0.082,0.081,-0.009000001,0.040000003,6.0305357,0,nan,0.0,3,1,17
29548968,1619011645000282,-339385940,188741651,129642,160949,0.14600001,0.54033804,0.75100005,1.0430001,0.59,0.97999996,107,6,0.041,0.017,0.037,-0.018000001,6.0305357,0,nan,0.0,3,1,17
29748967,1619011645200282,-339385939,188741651,129632,160939,0.17,0.54034674,0.75000006,1.042,0.59,0.97999996,107,6,0.089,0.087000005,0.014,-0.0050000004,6.0305357,0,nan,0.0,3,1,17
29948967,1619011645400282,-339385939,188741652,129581,160888,0.15900001,0.5403548,0.749,1.0400001,0.59,0.97999996,107,6,0.030000001,0.029000001,0.007,0.013,6.0305357,0,nan,0.0,3,1,17
30144967,1619011645600282,-339385941,188741653,129549,160856,0.19000001,0.5403644,0.74700004,1.0380001,0.59,0.97999996,107,6,0.065000005,-0.046000004,-0.047000002,0.052,6.0305357,0,nan,0.0,3,1,17
