timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
258158839,-0.2175097,-0.0013639857,0.015984673,0.9759264,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258163841,-0.217617,-0.0012693685,0.0160008,0.9759023,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258168843,-0.2177053,-0.0011953082,0.016078642,0.97588146,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258173846,-0.21780504,-0.0011440995,0.016186407,0.9758574,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258178848,-0.21794452,-0.0010948771,0.01628246,0.9758248,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258183850,-0.2181346,-0.0010469728,0.016357139,0.975781,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258188853,-0.21836811,-0.0010155364,0.016487237,0.9757267,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258193855,-0.21861401,-0.0010055308,0.016687736,0.97566825,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258198860,-0.21887112,-0.0009871131,0.016917318,0.9756067,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258203892,-0.21913254,-0.00095875544,0.017118422,0.9755445,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258208877,-0.21941116,-0.0009012012,0.017293883,0.9754788,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258213864,-0.21970206,-0.0008373199,0.017493397,0.97540987,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258218866,-0.22001968,-0.00079423975,0.017742513,0.9753338,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258223868,-0.22034648,-0.00076831714,0.018011108,0.9752551,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258228871,-0.22065818,-0.0007536042,0.018264689,0.9751799,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258233873,-0.2209339,-0.0007460435,0.018469455,0.97511363,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258238876,-0.22117417,-0.0007642808,0.018667962,0.9750554,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258243878,-0.22141229,-0.00084254245,0.018884955,0.9749971,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258248881,-0.22168395,-0.00097593816,0.019129377,0.9749304,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258253882,-0.2219713,-0.0011772262,0.019369325,0.9748602,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258258884,-0.22223882,-0.0014020213,0.019586327,0.97479457,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258263887,-0.22248259,-0.0016709557,0.019785566,0.9747344,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258268889,-0.22275609,-0.0019677246,0.01998794,0.9746674,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258273891,-0.22305855,-0.0023065316,0.020228768,0.9745924,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258278894,-0.22332591,-0.002694361,0.020522095,0.97452414,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258283896,-0.22350204,-0.0030851858,0.020797435,0.97447675,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258288898,-0.2236412,-0.0034560806,0.021012066,0.97443897,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258293900,-0.22380827,-0.0038225616,0.021198763,0.9743951,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258298902,-0.22392176,-0.004236293,0.021469299,0.9743614,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258303905,-0.22388546,-0.004691512,0.021818867,0.9743599,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258308908,-0.22377431,-0.005128632,0.022089276,0.97437716,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258313909,-0.2237125,-0.005543851,0.022229964,0.97438586,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258318912,-0.2236101,-0.006010241,0.022446964,0.9744017,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258323914,-0.22334446,-0.006554726,0.02281367,0.9744506,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258328925,-0.22305572,-0.007125393,0.023188116,0.9745039,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258333918,-0.2228623,-0.0077121565,0.023453576,0.97453725,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258338921,-0.22260275,-0.008374061,0.023800496,0.97458273,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258343923,-0.22224794,-0.009072509,0.02416952,0.9746484,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258348928,-0.2219667,-0.009793463,0.024518618,0.9746968,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258353929,-0.22167742,-0.010600836,0.024909692,0.9747442,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258358931,-0.22129638,-0.011450183,0.025319643,0.97481066,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258363937,-0.22098447,-0.01223407,0.025589207,0.97486484,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258368981,-0.22073185,-0.013059627,0.025841605,0.9749047,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258373979,-0.2203624,-0.013965665,0.026270367,0.97496426,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258378965,-0.22005628,-0.014777951,0.026582917,0.9750129,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258383955,-0.2198384,-0.0155345425,0.02681552,0.975044,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258388951,-0.219514,-0.01634123,0.027152138,0.9750945,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258393952,-0.21926625,-0.017048653,0.027316483,0.97513366,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258398949,-0.21905221,-0.017725246,0.027490264,0.9751647,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258403951,-0.21870905,-0.018449852,0.02776618,0.9752205,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258408953,-0.21849304,-0.019012302,0.027779784,0.9752578,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258413956,-0.21825786,-0.019579003,0.02783329,0.97529763,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258418958,-0.21793808,-0.020160194,0.027887616,0.97535574,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258424009,-0.21774505,-0.020595068,0.027772037,0.9753932,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258428987,-0.21743551,-0.021143714,0.027847413,0.97544825,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258433979,-0.21718925,-0.021616433,0.027729018,0.9754962,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258438967,-0.21702328,-0.021999745,0.027563538,0.9755292,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258443969,-0.21674286,-0.022516668,0.027571904,0.9755795,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258448973,-0.21662831,-0.022870207,0.027348014,0.97560304,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258453981,-0.2164303,-0.0233328,0.027362736,0.9756356,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258458977,-0.2163008,-0.023767553,0.0271805,0.9756589,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258463978,-0.21623701,-0.024096133,0.026978701,0.97567064,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258468981,-0.21607536,-0.024573877,0.026929062,0.9756959,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258473992,-0.216093,-0.024853364,0.02663358,0.97569305,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258478985,-0.21598649,-0.025282389,0.026669938,0.9757046,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258483988,-0.21602026,-0.025603246,0.026371917,0.9756968,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258488989,-0.21601307,-0.025922522,0.0263252,0.97569126,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258493992,-0.21603662,-0.026297636,0.026151074,0.9756807,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258498996,-0.21610099,-0.026567722,0.026046624,0.97566193,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258503996,-0.2160803,-0.02700694,0.025997978,0.97565573,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258508999,-0.21616541,-0.027265621,0.025768925,0.97563577,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258514002,-0.21611184,-0.02775597,0.025766112,0.97563386,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258519003,-0.21617493,-0.028069839,0.025429716,0.97561973,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258524005,-0.21610433,-0.02862928,0.025509791,0.975617,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258529008,-0.21613583,-0.029070143,0.02517201,0.9756058,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258534011,-0.21604595,-0.029680684,0.02526492,0.9756049,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258539013,-0.21604583,-0.030265266,0.024954747,0.97559494,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258544014,-0.21595232,-0.030929944,0.025083233,0.9755916,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258549017,-0.21590504,-0.031646024,0.024908416,0.9755835,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258554025,-0.21579543,-0.03234703,0.025052937,0.97558105,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258559022,-0.21569367,-0.033130787,0.024964275,0.97557956,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258564024,-0.21553949,-0.033787664,0.025039567,0.97558916,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258569026,-0.2153299,-0.03456176,0.025018133,0.9756089,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258574028,-0.21509236,-0.035106767,0.024982613,0.9756427,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258579030,-0.21476069,-0.035798736,0.025003292,0.9756902,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258584033,-0.21445979,-0.036205404,0.024818493,0.975746,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258589035,-0.21405806,-0.03678743,0.024853332,0.97581154,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258594037,-0.21374233,-0.03708507,0.024567794,0.9758768,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258599039,-0.21333468,-0.037536982,0.02464902,0.97594666,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258604042,-0.21303098,-0.037746623,0.024319412,0.97601306,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258609045,-0.21266922,-0.03808299,0.024405537,0.9760768,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258614047,-0.21239619,-0.038241904,0.024029,0.97613937,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258619048,-0.21209025,-0.038481064,0.02409353,0.9761949,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258624051,-0.21184559,-0.038639974,0.023713604,0.97625107,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258629053,-0.21160954,-0.038814213,0.023712363,0.97629535,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258634057,-0.21141629,-0.038989507,0.023321984,0.97633964,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258639058,-0.21123898,-0.039127167,0.023230927,0.97637475,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258644063,-0.21107742,-0.039349798,0.022864781,0.9764094,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258649093,-0.21094146,-0.039497674,0.022678044,0.9764371,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258654077,-0.21081325,-0.039799906,0.0223753,0.9764595,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258659067,-0.21074966,-0.039948657,0.022119675,0.97647303,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258664071,-0.21066275,-0.040321775,0.02189898,0.9764813,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258669071,-0.21063371,-0.040500663,0.021565752,0.9764877,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258674078,-0.21058682,-0.040905356,0.021430759,0.9764839,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258679076,-0.21055938,-0.041144863,0.021053586,0.97648793,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258684078,-0.21051472,-0.041527975,0.020935876,0.9764839,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258689080,-0.21045387,-0.041794874,0.020462159,0.9764956,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258694082,-0.21038824,-0.042163916,0.020340469,0.97649646,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258699086,-0.21026817,-0.042459942,0.019823266,0.97652006,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258704087,-0.21015728,-0.04279015,0.019677153,0.9765326,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258709089,-0.20995349,-0.04310614,0.019109907,0.97657377,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258714092,-0.20981309,-0.043419756,0.018891217,0.9765942,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258719095,-0.20954251,-0.043768134,0.018295629,0.9766482,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258724097,-0.20938155,-0.04404885,0.018050395,0.97667456,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258729099,-0.20910265,-0.04443092,0.017493984,0.9767272,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258734101,-0.20893912,-0.044660304,0.017183969,0.97675717,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258739103,-0.20869723,-0.04502692,0.01672129,0.9768002,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258744105,-0.20856345,-0.045238756,0.01641024,0.97682416,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258749108,-0.20839125,-0.04559734,0.01608452,0.9768497,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258754110,-0.20829567,-0.045815654,0.01576515,0.9768651,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258759112,-0.20820175,-0.04615971,0.015543131,0.9768724,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258764114,-0.20813385,-0.046386372,0.015182998,0.9768819,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258769117,-0.20811468,-0.046721216,0.015028602,0.9768724,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258774120,-0.20807436,-0.04695915,0.014654786,0.9768752,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258779122,-0.2081345,-0.047266927,0.014523368,0.9768495,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258784124,-0.20816563,-0.047510047,0.014148132,0.97683656,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
258789126,-0.20833275,-0.04776837,0.014037944,0.97678995,0.9999999,2.5117933e-10,-6.349529e-09,0.0005299822,4
