timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
423398275,423398070,0.12969464,0.14236464,0.14452156
423399530,423399324,0.12962595,0.13779433,0.15149423
423400792,423400586,0.12847519,0.13341625,0.15841378
423404536,423404324,0.12090257,0.11994255,0.18123409
423408280,423408075,0.10740955,0.1069454,0.2059318
423412029,423411827,0.09328495,0.092642896,0.23337428
423414533,423414328,0.08636496,0.08221594,0.25272107
423418290,423418081,0.08328516,0.063610494,0.28212774
423422036,423421832,0.08626898,0.039591778,0.3113271
423425788,423425583,0.08977371,0.009443208,0.33914635
423429588,423429383,0.08786331,-0.025805756,0.36568668
423432039,423431835,0.083277814,-0.05211967,0.38184997
423435792,423435587,0.07200965,-0.093417645,0.40224165
423439538,423439337,0.059847936,-0.13593933,0.41650698
423443298,423443091,0.048372332,-0.17829159,0.42527044
423447052,423446843,0.03727164,-0.21855935,0.42923367
423449555,423449344,0.028733956,-0.24397306,0.43032137
423453302,423453096,0.011033838,-0.28094247,0.4307119
423457062,423456851,-0.011951531,-0.31644544,0.4295674
423460806,423460598,-0.037418496,-0.35006055,0.42401135
423464554,423464350,-0.062219072,-0.37984288,0.41225216
423467060,423466851,-0.07636247,-0.39710653,0.3996181
423470808,423470602,-0.09416042,-0.41870537,0.3748088
423474556,423474354,-0.11187258,-0.4354509,0.34465545
423478313,423478106,-0.13167466,-0.44790345,0.3131852
423482060,423481858,-0.15437068,-0.4557439,0.2830962
423484567,423484359,-0.1691576,-0.4590585,0.26459765
423488347,423488144,-0.18889827,-0.46068126,0.23772654
423492069,423491862,-0.20555887,-0.46026722,0.21001686
423495820,423495613,-0.21919568,-0.45649362,0.17931786
423499617,423499414,-0.2318703,-0.4499431,0.14675866
423502070,423501866,-0.2413631,-0.4438055,0.12654248
423505825,423505618,-0.25435868,-0.43130705,0.10022929
423509609,423509399,-0.26123565,-0.41512352,0.08170378
423513337,423513122,-0.25762105,-0.3963097,0.06924727
423517091,423516881,-0.24731699,-0.37482914,0.05784389
423519584,423519382,-0.24125195,-0.35834512,0.05009237
423523330,423523125,-0.23480105,-0.33112225,0.03648669
423527088,423526877,-0.23518945,-0.30197018,0.023744395
423530836,423530629,-0.23686913,-0.27107581,0.014368578
423534592,423534380,-0.2310938,-0.2398285,0.008735762
423537103,423536886,-0.22294573,-0.21962982,0.0050847265
423540839,423540633,-0.21035759,-0.18916424,-0.003557222
423544586,423544385,-0.20539993,-0.15820979,-0.01477912
423548339,423548136,-0.21340042,-0.12779732,-0.023496546
423552092,423551888,-0.22475782,-0.09904929,-0.026228078
423554592,423554389,-0.22752002,-0.082331106,-0.024862023
423558345,423558142,-0.2185378,-0.058380343,-0.022694558
423562100,423561893,-0.20410347,-0.03310349,-0.02398325
423565856,423565645,-0.19646464,-0.0054184897,-0.027161703
423569597,423569396,-0.20118472,0.021167498,-0.025227882
423572101,423571897,-0.20515385,0.036118004,-0.020629419
423575857,423575649,-0.20213751,0.051207922,-0.012289913
423579602,423579400,-0.19008562,0.062070314,-0.010688124
423583354,423583152,-0.17838117,0.07596588,-0.015850775
423587110,423586903,-0.17438631,0.09023161,-0.020108445
423589606,423589404,-0.17281432,0.09607503,-0.019779295
423593369,423593156,-0.16403285,0.09434202,-0.017596016
423597135,423596912,-0.15470745,0.08269843,-0.019075416
423600893,423600686,-0.15444332,0.077413686,-0.02393581
423604617,423604411,-0.15935932,0.08058764,-0.024681695
423607125,423606913,-0.15740366,0.08167738,-0.020223713
423610869,423610664,-0.1423494,0.07358871,-0.014447223
423614618,423614416,-0.12893468,0.05974343,-0.013120878
423618421,423618210,-0.129427,0.053677455,-0.010967833
423622130,423621919,-0.13393559,0.056038734,0.00093913433
423624630,423624420,-0.12873487,0.055203654,0.011312094
423628395,423628190,-0.11419107,0.046225216,0.022993304
423632133,423631924,-0.10974815,0.038344778,0.02856146
423635881,423635675,-0.11071062,0.037415072,0.036519833
423639629,423639426,-0.09862575,0.034973264,0.04971252
423642136,423641929,-0.085294135,0.030876564,0.055246383
423645885,423645679,-0.077884495,0.02626574,0.058000475
423649684,423649481,-0.08394292,0.02627496,0.060459
423653386,423653183,-0.0769016,0.023562828,0.06745178
423657153,423656939,-0.05617788,0.015948469,0.06723407
423659645,423659443,-0.05115651,0.01587374,0.062673345
423663392,423663187,-0.053982224,0.025684202,0.05651117
423667159,423666940,-0.046216216,0.034399148,0.05632055
423670898,423670690,-0.034249008,0.03638935,0.050779983
423674647,423674442,-0.043574415,0.046361424,0.0406198
423677160,423676944,-0.053123653,0.058276482,0.036153223
423680900,423680695,-0.046234112,0.073660955,0.034300484
423684654,423684446,-0.03133103,0.08613909,0.026842332
423688416,423688202,-0.03646932,0.10849702,0.015392686
423692157,423691951,-0.034505848,0.13033566,0.011600577
423694654,423694451,-0.022828268,0.13813302,0.009147828
423698415,423698203,-0.017178299,0.15180945,-0.0024007328
423702167,423701954,-0.030957887,0.17822629,-0.013444644
423705911,423705705,-0.023638658,0.1992311,-0.018452264
423709666,423709457,-0.011184622,0.21201544,-0.030549737
423712174,423711959,-0.019603467,0.22541186,-0.04147617
423715930,423715716,-0.030560145,0.24604318,-0.051600613
423719666,423719462,-0.018002095,0.25491926,-0.05806195
423723423,423723213,-0.022545062,0.266227,-0.07103714
423727239,423727026,-0.036877915,0.2856129,-0.080948815
423729669,423729466,-0.027248401,0.2924802,-0.08405861
423733434,423733229,-0.013797339,0.29788488,-0.09433816
423737210,423737006,-0.028062271,0.3157567,-0.110603
423740931,423740722,-0.021352515,0.33177465,-0.119172975
423744685,423744474,-0.010042749,0.34080628,-0.13082942
423747201,423746995,-0.022472588,0.3543259,-0.14274375
423750940,423750726,-0.031588618,0.37521756,-0.15152234
423754686,423754477,-0.0153000895,0.38040066,-0.156401
423758445,423758238,-0.028789777,0.3932519,-0.17044786
423762239,423762022,-0.03494747,0.40850905,-0.17474371
423764699,423764482,-0.02236554,0.40886357,-0.17351411
423768439,423768234,-0.02890977,0.41217002,-0.17803253
423772200,423771994,-0.046272352,0.4232236,-0.17911635
423777201,423776991,-0.030181883,0.41852024,-0.167162
423779700,423779488,-0.040596824,0.4218397,-0.16784543
423782187,423781984,-0.05227452,0.42861152,-0.16508515
423785948,423785741,-0.038740404,0.42624378,-0.14927968
423789696,423789493,-0.038382202,0.42105284,-0.14219472
423793453,423793244,-0.05678232,0.42533892,-0.13664538
423797219,423796998,-0.045689568,0.41516492,-0.119724266
423799706,423799497,-0.047339153,0.40737757,-0.1147291
423803451,423803248,-0.071385615,0.40550685,-0.112012476
423807205,423807000,-0.06686294,0.39327505,-0.09561727
423810959,423810752,-0.070121616,0.37802726,-0.089059465
423814712,423814503,-0.09684027,0.37280187,-0.08604581
423817210,423817005,-0.09810268,0.36323103,-0.07503937
423820965,423820756,-0.10169521,0.34530497,-0.06516604
423824713,423824509,-0.13435704,0.3402814,-0.064350426
423828463,423828259,-0.14279065,0.32821938,-0.049502753
423832222,423832011,-0.1505971,0.3144498,-0.043001868
423834714,423834512,-0.17160666,0.3134478,-0.04326175
423838468,423838264,-0.18510427,0.30635542,-0.030195002
423842236,423842016,-0.18672496,0.29269287,-0.019277064
423845996,423845767,-0.217044,0.28932616,-0.016947158
423849734,423849519,-0.22693859,0.27609894,0.0011618406
423852229,423852020,-0.2260592,0.26195413,0.011850419
423855981,423855771,-0.24752627,0.25153798,0.014996501
423859729,423859523,-0.25835603,0.23452382,0.030495064
423863477,423863275,-0.25364736,0.20649463,0.0475717
423867289,423867074,-0.27505183,0.19070299,0.05095527
423869742,423869528,-0.28584024,0.177257,0.06146864
423873493,423873280,-0.28220567,0.1455882,0.081811525
423877251,423877033,-0.3001262,0.12569132,0.08485868
423881001,423880794,-0.3153607,0.10347133,0.09727536
423884746,423884534,-0.31309617,0.06906114,0.1140856
423887251,423887036,-0.32493126,0.05472978,0.113614425
423890995,423890787,-0.3443764,0.033475824,0.119280525
423894741,423894538,-0.34128478,-0.005101406,0.13571739
423898497,423898290,-0.35526556,-0.032734353,0.1329409
423902253,423902042,-0.37124366,-0.06174611,0.13902268
423904754,423904543,-0.36821148,-0.09153472,0.1492658
423908503,423908296,-0.37545046,-0.12647942,0.14895074
423912254,423912046,-0.39059597,-0.15431803,0.15146713
423916008,423915801,-0.3854202,-0.19910465,0.16854186
423918508,423918300,-0.38888478,-0.22290902,0.170224
423922262,423922053,-0.406326,-0.24810904,0.17314166
423927284,423927056,-0.40130875,-0.30067164,0.20018771
423929763,423929554,-0.40508235,-0.31896472,0.20224094
423933509,423933305,-0.41682157,-0.34094834,0.21039174
423937274,423937058,-0.4070126,-0.37833035,0.23186
423939770,423939558,-0.40512374,-0.39716443,0.23584193
423943514,423943310,-0.41642076,-0.4130884,0.23827305
423947275,423947062,-0.41127005,-0.44191998,0.25749597
423951026,423950813,-0.40821326,-0.4629216,0.26064444
423953517,423953314,-0.41649365,-0.46755123,0.25731626
423957281,423957069,-0.41666603,-0.48530087,0.2686527
423961023,423960817,-0.4105081,-0.50259835,0.26865032
423964794,423964593,-0.4212519,-0.50232214,0.25575358
423968528,423968321,-0.419158,-0.5164504,0.2585442
423971035,423970822,-0.4148091,-0.5266922,0.25305963
423974837,423974628,-0.4246915,-0.5245738,0.23176342
423978545,423978326,-0.42815,-0.5327563,0.22689413
423982280,423982077,-0.42248687,-0.54530555,0.21543114
423986035,423985828,-0.432748,-0.538314,0.19105542
423988538,423988330,-0.43469933,-0.5388997,0.18565956
423992285,423992081,-0.42753434,-0.5462422,0.17340222
423996038,423995832,-0.4352908,-0.53326815,0.14502776
423999787,423999585,-0.4375298,-0.526032,0.13316113
424003541,424003337,-0.428064,-0.52362275,0.11729637
424006052,424005837,-0.42976788,-0.51067233,0.09745352
