timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
423395594,-0.0030726765,-0.026026094,0.013758991,0.99956185,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423400586,-0.0035386262,-0.026309429,0.014068524,0.9995486,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423405580,-0.0040946617,-0.026547307,0.014315212,0.9995367,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423410571,-0.004751048,-0.026728656,0.014528511,0.9995259,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423415578,-0.0055067088,-0.026842872,0.014759753,0.99951553,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423420581,-0.0063509736,-0.026859242,0.01502218,0.9995062,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423425583,-0.007277645,-0.02674935,0.015278488,0.9994989,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423430587,-0.008278092,-0.026494538,0.015482203,0.9994948,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423435587,-0.009318972,-0.026103567,0.015638363,0.99949354,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423440589,-0.010375306,-0.025568496,0.015777046,0.9994948,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423445591,-0.011431604,-0.02491063,0.01587441,0.9994983,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423450594,-0.012490581,-0.02413415,0.015904907,0.99950415,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423455596,-0.013547716,-0.02324036,0.015839199,0.9995126,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423460598,-0.014557579,-0.022244135,0.015692003,0.9995234,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423465600,-0.0154799735,-0.021180214,0.015489201,0.9995359,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423470602,-0.016297897,-0.020064952,0.015240568,0.9995496,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423475604,-0.017007288,-0.018915044,0.014911214,0.99956524,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423480607,-0.017633472,-0.017752867,0.01449148,0.99958193,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423485610,-0.018180398,-0.016587162,0.014016333,0.9995989,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423490612,-0.018627526,-0.015426631,0.013498994,0.9996164,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423495613,-0.018952614,-0.014296431,0.012944297,0.99963444,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423500615,-0.01918953,-0.013200257,0.012325982,0.9996528,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423505618,-0.019371975,-0.012161059,0.011683671,0.99967015,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423510620,-0.019538654,-0.011194116,0.011072348,0.99968517,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423515622,-0.019654678,-0.010303836,0.010520294,0.99969846,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423520626,-0.019720176,-0.009517551,0.009958772,0.9997106,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423525626,-0.019745177,-0.008828571,0.009362458,0.9997223,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423530629,-0.019762833,-0.008245666,0.008782895,0.9997322,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423535631,-0.019768385,-0.0077616097,0.00829118,0.99974006,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423540633,-0.019713327,-0.007382792,0.007807902,0.99974793,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423545635,-0.019637933,-0.007100767,0.007242846,0.9997557,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423550638,-0.019582467,-0.006911189,0.006639486,0.9997624,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423555640,-0.019544624,-0.0067835604,0.006130442,0.9997672,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423560642,-0.019473804,-0.0067578005,0.005674614,0.9997714,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423565645,-0.019402575,-0.0068317316,0.0051628295,0.99977505,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423570646,-0.019384585,-0.0069640367,0.004608952,0.9997773,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423575649,-0.019379126,-0.007098631,0.004157987,0.99977845,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423580651,-0.019316074,-0.007303622,0.0037354624,0.99977976,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423585653,-0.019258188,-0.007559483,0.0032837465,0.9997806,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423590655,-0.019234663,-0.007777341,0.002886299,0.9997806,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423595705,-0.01917667,-0.007916035,0.0025231524,0.9997816,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423600686,-0.019101813,-0.008117574,0.0020950993,0.9997824,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423605662,-0.019087544,-0.008334622,0.0017058044,0.9997816,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423610664,-0.01906252,-0.008436939,0.0014446417,0.9997817,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423615666,-0.01902329,-0.008551123,0.0010977756,0.99978185,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423620668,-0.019084455,-0.008718883,0.0007277943,0.99977964,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423625670,-0.01917122,-0.008800593,0.00050977257,0.9997774,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423630673,-0.019239413,-0.008869125,0.00021951947,0.9997755,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423635675,-0.019379972,-0.008978987,-5.9013426e-05,0.99977195,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423640678,-0.019540993,-0.009021393,-0.00017802173,0.9997683,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423645679,-0.019671643,-0.009083024,-0.0004174834,0.9997652,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423650681,-0.019868733,-0.009146279,-0.0006228237,0.99976057,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
423655684,-0.020019704,-0.009143703,-0.00065881584,0.9997576,0.99184793,-3.1835596e-09,-3.0827931e-09,-0.12742719,5
