timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
31325964,1619012302999563,-339385951,188741580,129977,161284,0.2,0.6948086,0.77900004,1.028,0.59999996,0.96,111,10,0.040000003,-0.040000003,-0.006,-0.071,4.308505,0,nan,0.0,3,1,17
31527186,1619012303199562,-339385953,188741579,129979,161287,0.186,0.69481593,0.776,1.023,0.59999996,0.96,111,10,0.060000002,-0.055000003,0.024,0.031000001,4.308505,0,nan,0.0,3,1,17
31725012,1619012303399562,-339385954,188741578,129967,161275,0.163,0.6948223,0.77300006,1.019,0.59999996,0.96,111,10,0.028,-0.028,0.002,-0.010000001,4.308505,0,nan,0.0,3,1,17
31927054,1619012303599562,-339385956,188741577,129965,161272,0.147,0.6948281,0.76900005,1.016,0.59999996,0.96,111,10,0.017,0.016,0.006,0.004,4.308505,0,nan,0.0,3,1,17
32127057,1619012303799562,-339385956,188741576,129967,161274,0.157,0.6948342,0.76600003,1.0120001,0.59999996,0.96,111,10,0.074,0.07300001,0.008,-0.013,4.308505,0,nan,0.0,3,1,17
32325285,1619012303999563,-339385954,188741575,129980,161288,0.15,0.7799625,0.762,1.0070001,0.59999996,0.96,111,4,0.202,0.19700001,0.047000002,-0.038000003,5.2859144,0,nan,0.0,3,1,17
32525963,1619012304199562,-339385949,188741573,129994,161302,0.16100001,0.479913,0.75900006,1.003,0.59999996,0.96,111,4,0.289,0.282,-0.065000005,-0.004,5.84549,0,nan,0.0,3,1,17
32721051,1619012304399562,-339385945,188741570,129989,161296,0.16600001,0.5391938,0.75600004,1.0,0.59999996,0.96,111,4,0.257,0.24800001,-0.067,0.019000001,5.922198,0,nan,0.0,3,1,17
32927065,1619012304599562,-339385939,188741566,129966,161273,0.177,0.30644646,0.753,0.99600005,0.59999996,0.96,111,4,0.446,0.41300002,-0.16800001,0.16100001,5.9023666,0,nan,0.0,3,1,17
33126027,1619012304799562,-339385932,188741558,129953,161260,0.16900001,0.3429052,0.749,0.99200004,0.59999996,0.96,111,4,0.37800002,0.284,-0.24900001,0.10700001,5.7517643,0,nan,0.0,3,1,17
33327059,1619012304999563,-339385925,188741552,129925,161233,0.16800001,0.27158615,0.74600005,0.98800004,0.59999996,0.96,111,7,0.507,0.47900003,-0.16700001,0.024,5.872534,0,nan,0.0,3,1,17
33526960,1619012305199562,-339385917,188741547,129948,161256,0.18100001,0.25912294,0.74300003,0.984,0.59999996,0.96,111,7,0.51500005,0.469,-0.21300001,-0.282,5.864531,0,nan,0.0,3,1,17
33729206,1619012305399562,-339385910,188741542,130050,161357,0.21300001,0.41514558,0.74,0.98,0.59999996,0.96,111,7,0.291,0.25100002,-0.147,-0.628,5.8328137,0,nan,0.0,3,1,17
