timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
85686411,5.2480955,3.3580077,1,0,1,0,1,0,0
85696416,5.2368164,3.3370605,1,0,1,0,1,0,0
85706414,5.254541,3.3354492,1,0,1,0,1,0,0
85716412,5.2529297,3.364453,1,0,1,0,1,0,0
85726405,5.2464843,3.3354492,1,0,1,0,1,0,0
85736407,5.2513185,3.3322265,1,0,1,0,1,0,0
85746417,5.240039,3.3370605,1,0,1,0,1,0,0
85756466,5.2464843,3.3354492,1,0,1,0,1,0,0
85766463,5.2464843,3.3612304,1,0,1,0,1,0,0
85776442,5.231982,3.3338377,1,0,1,0,1,0,0
85786406,5.256152,3.3354492,1,0,1,0,1,0,0
85796407,5.2513185,3.3418944,1,0,1,0,1,0,0
85806406,5.243262,3.3338377,1,0,1,0,1,0,0
85816408,5.2480955,3.3322265,1,0,1,0,1,0,0
85826406,5.2529297,3.3338377,1,0,1,0,1,0,0
85836489,5.182031,3.3580077,1,0,1,0,1,0,0
85846409,5.2223144,3.3338377,1,0,1,0,1,0,0
85856408,5.1868653,3.3354492,1,0,1,0,1,0,0
85866408,5.2529297,3.3338377,1,0,1,0,1,0,0
85876414,5.1739745,3.3596191,1,0,1,0,1,0,0
85886406,5.259375,3.338672,1,0,1,0,1,0,0
85896408,5.22876,3.3338377,1,0,1,0,1,0,0
85906408,5.1884766,3.3596191,1,0,1,0,1,0,0
85916413,5.2609863,3.3596191,1,0,1,0,1,0,0
85926415,5.182031,3.3596191,1,0,1,0,1,0,0
85936407,5.2480955,3.3547852,1,0,1,0,1,0,0
85946408,5.240039,3.3354492,1,0,1,0,1,0,0
85956497,5.177197,3.3354492,1,0,1,0,1,0,0
85966574,5.244873,3.3580077,1,0,1,0,1,0,0
85976534,5.1884766,3.3354492,1,0,1,0,1,0,0
85986444,5.235205,3.3596191,1,0,1,0,1,0,0
85996499,5.2497067,3.3612304,1,0,1,0,1,0,0
86006514,5.177197,3.3354492,1,0,1,0,1,0,0
86016489,5.2529297,3.3580077,1,0,1,0,1,0,0
86026492,5.206201,3.3580077,1,0,1,0,1,0,0
86036469,5.2223144,3.3322265,1,0,1,0,1,0,0
86046501,5.2368164,3.3338377,1,0,1,0,1,0,0
86056470,5.1868653,3.3370605,1,0,1,0,1,0,0
86066495,5.235205,3.3563964,1,0,1,0,1,0,0
86076465,5.1481934,3.3354492,1,0,1,0,1,0,0
86086474,5.191699,3.3322265,1,0,1,0,1,0,0
